geo_id,official_municipality_code,municipality_name,municipality_name_in_source,district_code,district_name,reference_period,population_total,population_male,population_female,source_id,source_page,official_code_status
DE08111000,08111000,Stuttgart,"Stuttgart, Landeshauptstadt",08111,Stuttgart (SKR),2024-06-30,612986,305064,307922,stala_gemeinden_2024_06,6,reused_from_v1
LOCAL-BW-MUN-08115-aidlingen,,Aidlingen,Aidlingen,08115,Böblingen (LKR),2024-06-30,9326,4604,4722,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-altdorf,,Altdorf,Altdorf,08115,Böblingen (LKR),2024-06-30,4541,2249,2292,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-boblingen,,Böblingen,"Böblingen, Stadt",08115,Böblingen (LKR),2024-06-30,51616,25936,25680,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-bondorf,,Bondorf,Bondorf,08115,Böblingen (LKR),2024-06-30,6238,3101,3137,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-deckenpfronn,,Deckenpfronn,Deckenpfronn,08115,Böblingen (LKR),2024-06-30,3306,1646,1660,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-ehningen,,Ehningen,Ehningen,08115,Böblingen (LKR),2024-06-30,9271,4561,4710,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-gartringen,,Gärtringen,Gärtringen,08115,Böblingen (LKR),2024-06-30,12980,6401,6579,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-gaufelden,,Gäufelden,Gäufelden,08115,Böblingen (LKR),2024-06-30,9107,4631,4476,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-grafenau,,Grafenau,Grafenau,08115,Böblingen (LKR),2024-06-30,6581,3288,3293,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-herrenberg,,Herrenberg,"Herrenberg, Stadt",08115,Böblingen (LKR),2024-06-30,34102,16939,17163,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-hildrizhausen,,Hildrizhausen,Hildrizhausen,08115,Böblingen (LKR),2024-06-30,3567,1803,1764,stala_gemeinden_2024_06,6,not_in_source_table
LOCAL-BW-MUN-08115-holzgerlingen,,Holzgerlingen,"Holzgerlingen, Stadt",08115,Böblingen (LKR),2024-06-30,14147,6946,7201,stala_gemeinden_2024_06,6,not_in_source_table
