year,region_label,origin,value_thousand
2021,Baden-Württemberg,Afghanistan,31
2021,Baden-Württemberg,Bulgarien,36
2021,Baden-Württemberg,EU-27,1405
2021,Baden-Württemberg,Europa,2601
2021,Baden-Württemberg,Insgesamt,3843
2021,Baden-Württemberg,Irak,47
2021,Baden-Württemberg,Italien,265
2021,Baden-Württemberg,Kasachstan,241
2021,Baden-Württemberg,Kosovo,122
2021,Baden-Württemberg,Kroatien,126
2021,Baden-Württemberg,Marokko,11
2021,Baden-Württemberg,Polen,237
2021,Baden-Württemberg,Rumänien,276
2021,Baden-Württemberg,Russische Föderation,197
2021,Baden-Württemberg,Serbien,91
2021,Baden-Württemberg,Sonstiges Europa,1196
2021,Baden-Württemberg,Spanien,36
2021,Baden-Württemberg,Syrien,91
2021,Baden-Württemberg,Türkei,500
2021,Baden-Württemberg,Ukraine,42
2021,Baden-Württemberg,Vietnam,24
2022,Baden-Württemberg,Afghanistan,37
2022,Baden-Württemberg,Bulgarien,44
2022,Baden-Württemberg,EU-27,1404
2022,Baden-Württemberg,Europa,2681
2022,Baden-Württemberg,Insgesamt,3963
2022,Baden-Württemberg,Irak,47
2022,Baden-Württemberg,Italien,254
2022,Baden-Württemberg,Kasachstan,235
2022,Baden-Württemberg,Kosovo,131
2022,Baden-Württemberg,Kroatien,123
2022,Baden-Württemberg,Marokko,11
2022,Baden-Württemberg,Polen,219
2022,Baden-Württemberg,Rumänien,299
2022,Baden-Württemberg,Russische Föderation,200
2022,Baden-Württemberg,Serbien,92
2022,Baden-Württemberg,Sonstiges Europa,1277
2022,Baden-Württemberg,Spanien,35
2022,Baden-Württemberg,Syrien,103
2022,Baden-Württemberg,Türkei,515
2022,Baden-Württemberg,Ukraine,88
2022,Baden-Württemberg,Vietnam,23
2023,Baden-Württemberg,Afghanistan,44
2023,Baden-Württemberg,Bulgarien,42
2023,Baden-Württemberg,EU-27,1399
2023,Baden-Württemberg,Europa,2784
2023,Baden-Württemberg,Insgesamt,4099
2023,Baden-Württemberg,Irak,46
2023,Baden-Württemberg,Italien,242
2023,Baden-Württemberg,Kasachstan,234
2023,Baden-Württemberg,Kosovo,147
2023,Baden-Württemberg,Kroatien,116
2023,Baden-Württemberg,Marokko,13
2023,Baden-Württemberg,Polen,225
2023,Baden-Württemberg,Rumänien,314
2023,Baden-Württemberg,Russische Föderation,201
2023,Baden-Württemberg,Serbien,87
2023,Baden-Württemberg,Sonstiges Europa,1385
2023,Baden-Württemberg,Spanien,34
2023,Baden-Württemberg,Syrien,107
2023,Baden-Württemberg,Türkei,524
2023,Baden-Württemberg,Ukraine,157
2023,Baden-Württemberg,Vietnam,18
2024,Baden-Württemberg,Afghanistan,44
2024,Baden-Württemberg,Bulgarien,41
2024,Baden-Württemberg,EU-27,1419
2024,Baden-Württemberg,Europa,2884
2024,Baden-Württemberg,Insgesamt,4273
2024,Baden-Württemberg,Irak,49
2024,Baden-Württemberg,Italien,239
2024,Baden-Württemberg,Kasachstan,241
2024,Baden-Württemberg,Kosovo,170
2024,Baden-Württemberg,Kroatien,115
2024,Baden-Württemberg,Marokko,16
2024,Baden-Württemberg,Polen,227
2024,Baden-Württemberg,Rumänien,317
2024,Baden-Württemberg,Russische Föderation,194
2024,Baden-Württemberg,Serbien,92
2024,Baden-Württemberg,Sonstiges Europa,1465
2024,Baden-Württemberg,Spanien,40
2024,Baden-Württemberg,Syrien,122
2024,Baden-Württemberg,Türkei,545
2024,Baden-Württemberg,Ukraine,182
2024,Baden-Württemberg,Vietnam,23
2025,Baden-Württemberg,Afghanistan,44
2025,Baden-Württemberg,Bulgarien,45
2025,Baden-Württemberg,EU-27,1378
2025,Baden-Württemberg,Europa,2866
2025,Baden-Württemberg,Insgesamt,4304
2025,Baden-Württemberg,Irak,45
2025,Baden-Württemberg,Italien,226
2025,Baden-Württemberg,Kasachstan,248
2025,Baden-Württemberg,Kosovo,176
2025,Baden-Württemberg,Kroatien,110
2025,Baden-Württemberg,Marokko,19
2025,Baden-Württemberg,Polen,214
2025,Baden-Württemberg,Rumänien,315
2025,Baden-Württemberg,Russische Föderation,192
2025,Baden-Württemberg,Serbien,89
2025,Baden-Württemberg,Sonstiges Europa,1488
2025,Baden-Württemberg,Spanien,37
2025,Baden-Württemberg,Syrien,132
2025,Baden-Württemberg,Türkei,550
2025,Baden-Württemberg,Ukraine,187
2025,Baden-Württemberg,Vietnam,26
