year,region_code,region_label,migration_status,age_group,value_thousand
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,15 bis unter 25 Jahre,66
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,25 bis unter 35 Jahre,108
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,35 bis unter 45 Jahre,79
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,45 bis unter 55 Jahre,78
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,55 bis unter 65 Jahre,79
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,65 Jahre und mehr,113
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,Insgesamt,603
2021,08111KRSI,"Stuttgart, Stadtkreis",Insgesamt,unter 15 Jahre,82
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,37
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,50
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,41
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,37
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,27
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,65 Jahre und mehr,33
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,Insgesamt,274
2021,08111KRSI,"Stuttgart, Stadtkreis",mit Migrationshintergrund,unter 15 Jahre,49
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,15 bis unter 25 Jahre,35
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,25 bis unter 35 Jahre,47
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,35 bis unter 45 Jahre,54
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,45 bis unter 55 Jahre,54
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,55 bis unter 65 Jahre,58
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,65 Jahre und mehr,71
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,Insgesamt,384
2021,08115KRSI,"Böblingen, Landkreis",Insgesamt,unter 15 Jahre,65
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,14
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,21
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,26
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,19
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,17
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,19
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,Insgesamt,149
2021,08115KRSI,"Böblingen, Landkreis",mit Migrationshintergrund,unter 15 Jahre,34
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,15 bis unter 25 Jahre,48
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,25 bis unter 35 Jahre,77
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,35 bis unter 45 Jahre,68
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,45 bis unter 55 Jahre,68
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,55 bis unter 65 Jahre,78
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,65 Jahre und mehr,106
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,Insgesamt,524
2021,08116KRSI,"Esslingen, Landkreis",Insgesamt,unter 15 Jahre,79
2021,08116KRSI,"Esslingen, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,22
