year,region_code,region_label,series,migration_status,detail,value_thousand
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,Insgesamt,Insgesamt,603
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,Insgesamt,geschieden,38
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,Insgesamt,ledig,300
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,Insgesamt,verheiratet,237
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,Insgesamt,verwitwet,28
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,274
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,mit Migrationshintergrund,geschieden,16
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,mit Migrationshintergrund,ledig,139
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,mit Migrationshintergrund,verheiratet,110
2021,08111KRSI,"Stuttgart, Stadtkreis",by_marital_status,mit Migrationshintergrund,verwitwet,9
2021,08111KRSI,"Stuttgart, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,84
2021,08111KRSI,"Stuttgart, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08111KRSI,"Stuttgart, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,68
2021,08111KRSI,"Stuttgart, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,13
2021,08111KRSI,"Stuttgart, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,Insgesamt,Insgesamt,384
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,Insgesamt,geschieden,21
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,Insgesamt,ledig,158
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,Insgesamt,verheiratet,184
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,Insgesamt,verwitwet,21
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,149
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,7
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,65
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,71
2021,08115KRSI,"Böblingen, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08115KRSI,"Böblingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,48
2021,08115KRSI,"Böblingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08115KRSI,"Böblingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,37
2021,08115KRSI,"Böblingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,9
2021,08115KRSI,"Böblingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,Insgesamt,Insgesamt,524
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,Insgesamt,geschieden,32
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,Insgesamt,ledig,215
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,Insgesamt,verheiratet,247
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,Insgesamt,verwitwet,30
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,206
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,11
2021,08116KRSI,"Esslingen, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,94
