year,region_code,region_label,labour_status,migration_status,education_isced,value_thousand
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,Insgesamt,Insgesamt,12
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,Insgesamt,hoch,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,Insgesamt,mittel,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,Insgesamt,niedrig,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,mit Migrationshintergrund,Insgesamt,8
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,mit Migrationshintergrund,hoch,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,mit Migrationshintergrund,mittel,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,mit Migrationshintergrund,niedrig,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,ohne Migrationshintergrund,Insgesamt,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,ohne Migrationshintergrund,hoch,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,ohne Migrationshintergrund,mittel,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbslose,ohne Migrationshintergrund,niedrig,/
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,Insgesamt,Insgesamt,338
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,Insgesamt,hoch,165
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,Insgesamt,mittel,124
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,Insgesamt,niedrig,48
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,mit Migrationshintergrund,Insgesamt,147
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,mit Migrationshintergrund,hoch,53
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,mit Migrationshintergrund,mittel,56
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,mit Migrationshintergrund,niedrig,39
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,ohne Migrationshintergrund,Insgesamt,190
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,ohne Migrationshintergrund,hoch,113
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,ohne Migrationshintergrund,mittel,69
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbspersonen,ohne Migrationshintergrund,niedrig,9
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,Insgesamt,Insgesamt,325
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,Insgesamt,hoch,161
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,Insgesamt,mittel,120
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,Insgesamt,niedrig,44
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,mit Migrationshintergrund,Insgesamt,140
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,mit Migrationshintergrund,hoch,50
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,mit Migrationshintergrund,mittel,53
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,mit Migrationshintergrund,niedrig,37
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,ohne Migrationshintergrund,Insgesamt,186
2021,08111KRSI,"Stuttgart, Stadtkreis",Erwerbstätige,ohne Migrationshintergrund,hoch,111
