Anteil Ausländer/-innen 2025
"Regionalschlüssel";"Gemeinde";"in %"
"08335001";"Aach, Stadt";"12,4"
"08136088";"Aalen, Stadt";"15,5"
"08125001";"Abstatt";"14,5"
"08136002";"Abtsgmünd";"6,8"
"08436001";"Achberg";"8,2"
"08317001";"Achern, Stadt";"13,9"
"08426001";"Achstetten";"10,3"
"08117001";"Adelberg";"7,9"
"08136003";"Adelmannsfelden";"5,7"
"08225001";"Adelsheim, Stadt";"20,6"
"08118001";"Affalterbach";"12,4"
"08225002";"Aglasterhausen";"11,7"
"08128138";"Ahorn";"4,6"
"08117002";"Aichelberg";"9,3"
"08325001";"Aichhalden";"5,6"
"08436003";"Aichstetten";"11,2"
"08116081";"Aichtal, Stadt";"12,7"
"08116076";"Aichwald";"11,6"
"08115001";"Aidlingen";"15,1"
"08336004";"Aitern";"4,1"
"08436004";"Aitrach";"12,3"
"08337002";"Albbruck";"10,6"
"08117003";"Albershausen";"12,7"
"08417079";"Albstadt, Stadt";"22,0"
"08327002";"Aldingen";"18,2"
"08119001";"Alfdorf";"8,3"
"08335002";"Allensbach";"14,3"
"08426005";"Alleshausen";"6,1"
"08426006";"Allmannsweiler";"5,6"
"08425002";"Allmendingen";"13,3"
"08119003";"Allmersbach im Tal";"11,1"
"08237002";"Alpirsbach, Stadt";"12,2"
"08116004";"Altbach";"23,6"
"08115002";"Altdorf";"10,7"
"08116005";"Altdorf";"8,3"
"08116006";"Altenriet";"8,8"
"08235006";"Altensteig, Stadt";"21,1"
"08425004";"Altheim";"12,6"
"08426008";"Altheim";"7,2"
"08425005";"Altheim (Alb)";"10,4"
"08235007";"Althengstett";"11,8"
"08119004";"Althütte";"7,1"
"08226003";"Altlußheim";"14,0"
"08436005";"Altshausen";"15,5"
"08416048";"Ammerbuch";"11,7"
"08425008";"Amstetten";"14,8"
"08436006";"Amtzell";"8,3"
"08226102";"Angelbachtal";"11,4"
"08317005";"Appenweier";"10,3"
"08436094";"Argenbühl";"6,9"
"08119087";"Aspach";"14,5"
"08118003";"Asperg, Stadt";"21,8"
"08128006";"Assamstadt";"7,0"
"08425011";"Asselfingen";"10,9"
"08426011";"Attenweiler";"8,3"
"08315003";"Au";"7,3"
"08216002";"Au am Rhein";"6,6"
"08119006";"Auenwald";"8,8"
"08315004";"Auggen";"12,5"
"08436008";"Aulendorf, Stadt";"13,7"
"08119008";"Backnang, Stadt";"23,7"
"08336006";"Bad Bellingen";"22,6"
"08117012";"Bad Boll";"10,3"
"08426013";"Bad Buchau, Stadt";"25,7"
"08117006";"Bad Ditzenbach";"12,0"
"08326003";"Bad Dürrheim, Stadt";"15,7"
"08125005";"Bad Friedrichshall, Stadt";"21,2"
"08235033";"Bad Herrenalb, Stadt";"21,7"
"08315006";"Bad Krozingen, Stadt";"17,1"
"08235008";"Bad Liebenzell, Stadt";"17,2"
"08128007";"Bad Mergentheim, Stadt";"17,8"
"08317008";"Bad Peterstal-Griesbach";"16,9"
"08125006";"Bad Rappenau, Stadt";"16,5"
"08237075";"Bad Rippoldsau-Schapbach";"8,5"
"08337096";"Bad Säckingen, Stadt";"22,2"
"08437100";"Bad Saulgau, Stadt";"13,0"
"08215100";"Bad Schönborn";"19,1"
"08426014";"Bad Schussenried, Stadt";"14,0"
"08235084";"Bad Teinach-Zavelstein, Stadt";"12,8"
"08117007";"Bad Überkingen";"8,5"
"08415078";"Bad Urach, Stadt";"24,8"
"08436009";"Bad Waldsee, Stadt";"13,7"
"08235079";"Bad Wildbad, Stadt";"23,2"
"08125007";"Bad Wimpfen, Stadt";"18,9"
"08436010";"Bad Wurzach, Stadt";"12,4"
"08211000";"Baden-Baden, Stadt";"25,1"
"08315007";"Badenweiler";"21,8"
"08316002";"Bahlingen am Kaiserstuhl";"10,1"
"08436011";"Baienfurt";"18,6"
"08237004";"Baiersbronn";"18,0"
"08436012";"Baindt";"14,0"
"08327005";"Balgheim";"10,5"
"08417002";"Balingen, Stadt";"13,1"
"08425013";"Ballendorf";"8,8"
"08315008";"Ballrechten-Dottingen";"10,8"
"08116007";"Baltmannsweiler";"11,5"
"08425140";"Balzheim";"12,8"
"08226006";"Bammental";"10,7"
"08327004";"Bärenthal";"9,5"
"08136007";"Bartholomä";"5,0"
"08125008";"Beilstein, Stadt";"14,4"
"08425014";"Beimerstetten";"12,1"
"08116008";"Bempflingen";"12,8"
"08118006";"Benningen am Neckar";"16,6"
"08436013";"Berg";"8,5"
"08436014";"Bergatreute";"7,6"
"08317009";"Berghaupten";"10,9"
"08425017";"Berghülen";"10,3"
"08119089";"Berglen";"8,2"
"08426019";"Berkheim";"11,7"
