ags,name,population,census_population,projection_population_2022,u3,a3_5,a6_9,a10_15,a16_18,a19_24,a25_39,a40_59,a60_66,a67_74,a75plus
08111000,"Stuttgart, Landeshauptstadt",610458,610458,632165,17917,16828,20985,31365,15766,46547,152584,162610,46254,39625,59982
08115001,Aidlingen,9151,9151,9328,272,283,348,518,247,566,1630,2608,873,785,1025
08115002,Altdorf,4547,4547,4698,145,120,172,322,166,281,747,1468,429,292,408
08115003,"Böblingen, Stadt",50705,50705,51425,1664,1601,2046,2928,1354,2918,11078,13864,4205,3546,5502
08115004,Bondorf,6197,6197,6281,193,236,259,344,166,447,1226,1794,574,437,522
08115010,Deckenpfronn,3269,3269,3460,95,112,145,201,91,205,585,1005,304,234,297
08115013,Ehningen,9124,9124,9316,327,322,432,525,256,531,1907,2689,712,595,824
08115015,Gärtringen,12903,12903,12780,428,437,512,831,475,740,2401,3670,1118,968,1317
08115016,Gäufelden,8982,8982,9283,285,273,363,530,294,579,1628,2598,920,743,772
08115021,"Herrenberg, Stadt",33344,33344,32259,1064,1017,1293,1867,1015,2060,6130,9426,3113,2597,3767
08115022,Hildrizhausen,3493,3493,3617,103,93,122,210,95,230,582,1022,361,285,389
08115024,"Holzgerlingen, Stadt",13822,13822,13704,456,440,580,958,458,805,2505,4067,1215,897,1438
08115028,"Leonberg, Stadt",48337,48337,49291,1520,1515,1818,2563,1261,2763,9814,13445,4200,3662,5770
08115029,Magstadt,9580,9580,9821,321,301,422,548,308,608,2036,2720,793,631,893
08115034,Mötzingen,3711,3711,3746,116,119,174,214,115,243,672,1065,392,294,306
08115037,Nufringen,5753,5753,5931,213,183,227,292,175,366,1215,1618,527,413,529
08115041,"Renningen, Stadt",18443,18443,18560,614,659,797,1100,540,1064,3802,5115,1682,1322,1749
08115042,"Rutesheim, Stadt",10936,10936,10854,329,352,513,679,331,606,1935,3186,1015,791,1195
08115044,Schönaich,10339,10339,10900,337,364,451,575,306,598,1880,2913,940,788,1188
08115045,"Sindelfingen, Stadt",60545,60545,64903,1862,1898,2378,3722,1780,3672,11875,16773,5307,4476,6794
08115046,Steinenbronn,6433,6433,6531,178,196,232,408,192,380,1261,1849,668,480,584
08115048,"Waldenbuch, Stadt",8630,8630,8745,230,237,321,502,256,515,1427,2515,865,785,976
08115050,"Weil der Stadt, Stadt",19411,19411,19296,558,658,781,1192,594,1125,3485,5465,1884,1600,2068
08115051,Weil im Schönbuch,9720,9720,10057,306,280,338,514,344,649,1676,2839,1015,736,1026
08115052,Weissach,7624,7624,7661,237,235,295,452,226,461,1330,2141,772,638,844
08115053,Jettingen,7981,7981,8098,287,289,370,494,239,493,1423,2244,822,628,694
08115054,Grafenau,6670,6670,6888,196,180,274,388,177,420,1203,1988,638,509,697
08116004,Altbach,6052,6052,6417,177,201,201,325,178,386,1252,1727,463,421,707
08116005,Altdorf,1684,1684,1689,47,57,72,108,71,121,302,526,151,121,107
08116006,Altenriet,1955,1955,2007,50,67,85,111,65,123,298,599,204,146,205
08116007,Baltmannsweiler,5516,5516,5701,151,153,207,338,163,329,873,1573,568,465,683
08116008,Bempflingen,3351,3351,3506,92,115,131,201,88,205,555,987,321,256,401
08116011,Beuren,3612,3612,3720,111,87,130,173,94,176,656,1017,395,294,474
08116012,Bissingen an der Teck,3372,3372,3492,81,120,143,169,77,221,563,958,377,289,372
08116014,Deizisau,6673,6673,6871,172,173,245,329,205,508,1177,2016,543,502,805
08116015,Denkendorf,11001,11001,11332,353,340,424,614,297,745,2117,3125,952,822,1216
08116016,Dettingen unter Teck,6064,6064,6250,180,188,238,379,182,325,990,1750,550,516,765
08116018,Erkenbrechtsweiler,2035,2035,2186,63,80,93,110,56,109,365,586,211,178,187
08116019,"Esslingen am Neckar, Stadt",94442,94442,93950,2843,2710,3508,5293,2838,6460,19714,26416,7792,6474,10397
08116020,Frickenhausen,9202,9202,9370,268,280,359,547,280,562,1608,2585,903,733,1077
08116022,Großbettlingen,4248,4248,4443,121,107,143,255,128,245,716,1266,418,361,487
08116027,Hochdorf,4647,4647,4842,144,149,189,284,117,261,737,1315,456,379,622
08116029,Holzmaden,2276,2276,2374,81,80,98,127,65,140,428,664,228,174,196
08116033,"Kirchheim unter Teck, Stadt",41676,41676,41607,1232,1215,1458,2311,1228,2364,7754,11669,4307,3522,4615
08116035,Köngen,9560,9560,9812,289,274,349,542,273,610,1805,2772,895,710,1041
08116036,Kohlberg,2344,2344,2353,72,77,101,138,68,134,386,703,219,198,254
08116037,Lichtenwald,2559,2559,2682,100,100,132,153,46,106,422,710,245,241,308
08116041,Neckartailfingen,3769,3769,4007,129,139,134,201,112,240,763,1056,379,265,358
08116042,Neckartenzlingen,6107,6107,6423,131,176,220,364,179,366,1037,1815,588,548,673
08116043,Neidlingen,1759,1759,1834,49,60,84,94,32,125,304,496,194,131,194
08116046,"Neuffen, Stadt",6024,6024,6263,156,157,221,323,173,429,1016,1743,625,517,669
08116047,Neuhausen auf den Fildern,12067,12067,12176,398,384,495,689,350,654,2366,3560,1010,873,1292
08116048,Notzingen,3572,3572,3606,74,103,102,204,107,187,528,1001,458,343,468
08116049,"Nürtingen, Stadt",40212,40212,41099,1136,1090,1416,2207,1236,3068,7464,11048,3726,3261,4567
08116050,Oberboihingen,5486,5486,5666,180,143,195,314,174,337,1076,1525,558,420,566
08116053,Ohmden,1729,1729,1723,58,60,59,103,66,111,251,515,171,138,204
08116054,"Owen, Stadt",3337,3337,3440,95,107,136,194,82,188,590,935,348,306,354
08116056,"Plochingen, Stadt",14178,14178,14547,420,440,548,826,426,912,2887,3855,1253,1051,1557
08116058,Reichenbach an der Fils,7873,7873,8313,220,224,259,405,210,488,1480,2208,793,622,970
08116063,Schlaitdorf,1865,1865,1945,54,55,73,117,62,109,328,583,205,146,136
08116068,Unterensingen,4908,4908,5009,176,168,187,269,141,318,927,1442,437,340,495
08116070,"Weilheim an der Teck, Stadt",9779,9779,10324,305,299,349,524,318,613,1736,2825,1046,783,983
08116071,"Wendlingen am Neckar, Stadt",15800,15800,16152,508,444,550,881,445,882,3038,4469,1498,1257,1823
08116072,"Wernau (Neckar), Stadt",11995,11995,12253,383,344,433,622,332,724,2282,3449,1091,953,1388
08116073,Wolfschlugen,6164,6164,6354,155,178,237,353,170,372,1043,1806,618,539,693
08116076,Aichwald,7252,7252,7618,195,210,247,334,205,402,1085,2023,712,712,1130
08116077,"Filderstadt, Stadt",45821,45821,46150,1415,1249,1625,2474,1308,3026,9566,13062,4105,3426,4574
08116078,"Leinfelden-Echterdingen, Stadt",40774,40774,40357,1314,1218,1458,2191,1118,2334,8741,11527,3465,2828,4579
08116079,Lenningen,8063,8063,8307,212,263,293,428,227,501,1382,2298,863,673,917
08116080,"Ostfildern, Stadt",39555,39555,39908,1161,1181,1619,2451,1230,2388,7690,11517,3331,2903,4083
08116081,"Aichtal, Stadt",9537,9537,9968,258,293,363,564,278,522,1652,2863,989,842,907
08117001,Adelberg,1972,1972,2021,59,48,79,107,65,110,273,596,211,212,208
08117002,Aichelberg,1315,1315,1324,35,37,58,71,45,85,216,418,127,108,119
08117003,Albershausen,4397,4397,4462,99,143,150,273,123,248,782,1267,417,359,530
08117006,Bad Ditzenbach,3726,3726,3796,127,125,138,163,97,201,689,1027,412,328,419
08117007,Bad Überkingen,3839,3839,3925,91,106,126,184,103,236,596,1078,405,349,571
08117009,Birenbach,1889,1889,1921,54,68,92,96,47,98,306,528,196,172,228
08117010,Böhmenkirch,5537,5537,5624,179,191,239,317,175,359,1018,1613,539,423,479
08117011,Börtlingen,1683,1683,1721,52,67,53,107,49,89,275,459,152,174,209
08117012,Bad Boll,5189,5189,5263,133,153,198,329,164,285,813,1413,552,424,712
08117014,Deggingen,5131,5131,5331,126,181,195,262,126,326,822,1407,496,505,682
08117015,"Donzdorf, Stadt",10531,10531,10960,278,279,342,588,297,643,1749,2930,1067,987,1372
08117016,Drackenstein,459,459,460,18,12,13,36,10,22,93,135,42,52,24
08117017,Dürnau,2169,2169,2197,59,81,96,116,79,108,389,622,236,209,180
08117018,"Ebersbach an der Fils, Stadt",15231,15231,15648,476,497,600,833,407,863,2701,4202,1575,1223,1850
08117019,"Eislingen/Fils, Stadt",21972,21972,21606,676,694,817,1223,684,1483,4289,6064,2019,1743,2288
08117020,Eschenbach,2137,2137,2145,61,56,57,113,55,125,370,595,266,222,216
08117023,Gammelshausen,1464,1464,1473,49,56,48,94,30,67,268,395,158,132,168
08117024,"Geislingen an der Steige, Stadt",26869,26869,28401,831,847,1095,1575,889,1996,5284,7123,2482,2003,2743
08117025,Gingen an der Fils,4408,4408,4555,128,136,154,228,139,266,759,1283,452,318,538
08117026,"Göppingen, Stadt",57809,57809,58428,1686,1798,2226,3258,1671,3612,11235,15764,5426,4701,6436
08117028,Gruibingen,2225,2225,2324,57,75,86,112,60,135,459,627,243,199,172
08117029,Hattenhofen,2943,2943,2969,68,77,119,157,85,153,456,880,301,283,370
08117030,Heiningen,4968,4968,5118,134,141,183,249,141,278,838,1364,516,482,642
08117031,Hohenstadt,863,863,845,11,23,23,34,23,49,147,301,99,80,75
08117033,Kuchen,5537,5537,5700,130,157,194,262,149,356,930,1572,516,516,753
08117035,Mühlhausen im Täle,1088,1088,1100,36,31,40,59,30,61,207,308,119,117,79
08117037,Ottenbach,2410,2410,2466,78,68,97,147,73,150,361,702,251,224,254
08117038,Rechberghausen,5413,5413,5459,150,152,205,312,148,281,881,1539,535,481,725
08117042,Salach,7976,7976,8197,233,227,305,464,237,525,1432,2318,725,671,840
08117043,Schlat,1668,1668,1696,46,45,49,86,55,106,308,443,181,143,202
08117044,Schlierbach,3834,3834,3901,104,115,157,233,119,242,559,1130,353,341,485
08117049,"Süßen, Stadt",10048,10048,10249,292,334,421,550,275,601,1866,2738,1004,869,1093
08117051,"Uhingen, Stadt",14248,14248,14504,421,470,516,840,459,919,2623,3950,1437,1077,1535
08117053,Wäschenbeuren,3912,3912,3969,102,94,138,223,143,240,654,1143,436,281,454
08117055,Wangen,3138,3138,3174,74,90,120,198,78,166,472,889,341,279,430
08117058,"Wiesensteig, Stadt",1976,1976,2055,72,66,59,93,59,123,355,518,214,165,259
08117060,Zell unter Aichelberg,3110,3110,3157,83,85,117,161,103,166,510,931,324,276,348
