ags,name,population,german,foreign,immigration_history_total,immigrated,descendants,one_parent,without_immigration_history
08111000,"Stuttgart, Landeshauptstadt",610458,453571,156891,217457,191120,26338,15895,377103
08115001,Aidlingen,9151,7934,1220,1942,1757,185,229,6981
08115002,Altdorf,4547,4113,435,772,690,81,109,3667
08115003,"Böblingen, Stadt",50705,38201,12505,20925,17992,2936,1709,28071
08115004,Bondorf,6197,5340,856,1250,1110,139,175,4775
08115010,Deckenpfronn,3269,2951,319,585,527,57,60,2624
08115013,Ehningen,9124,7653,1466,2221,1963,257,290,6617
08115015,Gärtringen,12903,10771,2132,3307,2916,390,348,9250
08115016,Gäufelden,8982,7705,1275,1916,1696,219,225,6842
08115021,"Herrenberg, Stadt",33344,28020,5321,7983,7030,951,935,24426
08115022,Hildrizhausen,3493,2996,498,750,663,86,82,2657
08115024,"Holzgerlingen, Stadt",13822,11766,2059,3513,2989,524,476,9835
08115028,"Leonberg, Stadt",48337,38045,10289,13873,12063,1812,1315,33150
08115029,Magstadt,9580,7318,2264,3069,2699,373,307,6205
08115034,Mötzingen,3711,3144,567,835,711,122,91,2788
08115037,Nufringen,5753,5030,717,1126,1007,120,151,4476
08115041,"Renningen, Stadt",18443,15497,2945,4276,3732,546,470,13698
08115042,"Rutesheim, Stadt",10936,9430,1506,2148,1907,240,270,8518
08115044,Schönaich,10339,8485,1854,2654,2321,331,266,7421
08115045,"Sindelfingen, Stadt",60545,44808,15734,24975,21432,3541,2053,33520
08115046,Steinenbronn,6433,4955,1479,1882,1666,213,183,4374
08115048,"Waldenbuch, Stadt",8630,7221,1409,1906,1704,203,206,6519
08115050,"Weil der Stadt, Stadt",19411,16369,3045,4625,4043,582,465,14322
08115051,Weil im Schönbuch,9720,8273,1447,2084,1830,259,253,7384
08115052,Weissach,7624,6636,988,1351,1210,140,141,6132
08115053,Jettingen,7981,6906,1074,1736,1486,247,254,5994
08115054,Grafenau,6670,5798,871,1582,1384,196,152,4936
08116004,Altbach,6052,4753,1298,1778,1545,232,215,4064
08116005,Altdorf,1684,1590,94,185,160,22,41,1460
08116006,Altenriet,1955,1782,171,270,247,21,25,1660
08116007,Baltmannsweiler,5516,4983,533,848,768,80,96,4572
08116008,Bempflingen,3351,2947,405,645,559,88,83,2627
08116011,Beuren,3612,3199,411,646,598,46,60,2907
08116012,Bissingen an der Teck,3372,3004,368,556,495,64,53,2764
08116014,Deizisau,6673,5613,1060,1403,1278,122,149,5124
08116015,Denkendorf,11001,9036,1966,2835,2447,386,268,7901
08116016,Dettingen unter Teck,6064,5211,851,1299,1143,153,134,4629
08116018,Erkenbrechtsweiler,2035,1866,169,279,245,30,44,1711
08116019,"Esslingen am Neckar, Stadt",94442,71599,22845,30864,26875,3986,2707,60869
08116020,Frickenhausen,9202,7711,1490,2252,1966,291,286,6667
08116022,Großbettlingen,4248,3800,446,872,770,105,105,3271
08116027,Hochdorf,4647,4208,439,750,690,60,83,3812
08116029,Holzmaden,2276,2000,278,396,349,49,30,1847
08116033,"Kirchheim unter Teck, Stadt",41676,33753,7921,12388,10848,1539,1019,28268
08116035,Köngen,9560,8209,1351,1885,1671,211,222,7455
08116036,Kohlberg,2344,2147,195,335,295,42,56,1950
08116037,Lichtenwald,2559,2318,241,355,311,45,47,2160
08116041,Neckartailfingen,3769,3279,490,642,577,66,60,3066
08116042,Neckartenzlingen,6107,4833,1274,1741,1560,184,168,4196
08116043,Neidlingen,1759,1557,204,267,234,31,32,1460
08116046,"Neuffen, Stadt",6024,5283,743,1201,1081,118,102,4720
08116047,Neuhausen auf den Fildern,12067,10539,1528,2386,2092,293,321,9364
08116048,Notzingen,3572,3325,246,463,421,42,60,3055
08116049,"Nürtingen, Stadt",40212,32819,7393,12612,10990,1620,1116,26485
08116050,Oberboihingen,5486,4672,813,1177,1063,115,141,4163
08116053,Ohmden,1729,1585,146,249,221,27,45,1435
08116054,"Owen, Stadt",3337,2926,411,582,521,57,50,2704
08116056,"Plochingen, Stadt",14178,10916,3263,4824,4159,668,439,8913
08116058,Reichenbach an der Fils,7873,6522,1352,2123,1871,252,195,5558
08116063,Schlaitdorf,1865,1713,151,254,217,36,39,1571
08116068,Unterensingen,4908,4243,664,1002,875,123,119,3788
08116070,"Weilheim an der Teck, Stadt",9779,8050,1729,2150,1932,221,208,7416
08116071,"Wendlingen am Neckar, Stadt",15800,12975,2827,4324,3771,556,428,11050
08116072,"Wernau (Neckar), Stadt",11995,9949,2042,2976,2603,374,297,8721
08116073,Wolfschlugen,6164,5516,648,1056,928,125,147,4963
08116076,Aichwald,7252,6513,737,1180,1080,101,122,5950
08116077,"Filderstadt, Stadt",45821,37113,8707,11655,10172,1483,1081,33085
08116078,"Leinfelden-Echterdingen, Stadt",40774,33151,7624,10758,9396,1366,1099,28915
08116079,Lenningen,8063,6685,1378,1867,1649,216,162,6036
08116080,"Ostfildern, Stadt",39555,32636,6919,12146,10370,1774,1149,26264
08116081,"Aichtal, Stadt",9537,8551,985,1556,1342,211,207,7775
08117001,Adelberg,1972,1843,129,232,215,19,35,1707
08117002,Aichelberg,1315,1209,102,190,165,23,20,1107
08117003,Albershausen,4397,3899,499,923,808,119,109,3362
08117006,Bad Ditzenbach,3726,3383,341,526,472,56,98,3100
08117007,Bad Überkingen,3839,3469,369,554,522,36,46,3232
08117009,Birenbach,1889,1711,181,361,310,48,46,1484
08117010,Böhmenkirch,5537,4847,690,886,788,94,88,4565
08117011,Börtlingen,1683,1584,99,203,191,15,36,1445
08117012,Bad Boll,5189,4615,572,970,882,88,114,4107
08117014,Deggingen,5131,4671,458,803,700,102,83,4243
08117015,"Donzdorf, Stadt",10531,9373,1157,1703,1510,197,195,8636
08117016,Drackenstein,459,419,40,63,61,3,4,391
08117017,Dürnau,2169,1994,169,391,334,58,30,1748
08117018,"Ebersbach an der Fils, Stadt",15231,12541,2688,3833,3327,502,416,10981
08117019,"Eislingen/Fils, Stadt",21972,16750,5224,8414,7189,1223,635,12926
08117020,Eschenbach,2137,1979,159,339,309,27,37,1761
08117023,Gammelshausen,1464,1310,154,354,291,59,29,1080
08117024,"Geislingen an der Steige, Stadt",26869,18966,7905,10209,8841,1366,788,15875
08117025,Gingen an der Fils,4408,3835,573,865,763,104,105,3437
08117026,"Göppingen, Stadt",57809,44664,13146,21626,18688,2941,1633,34552
08117028,Gruibingen,2225,1863,361,520,486,37,46,1659
08117029,Hattenhofen,2943,2688,252,477,434,42,39,2430
08117030,Heiningen,4968,4367,600,1015,899,113,115,3844
08117031,Hohenstadt,863,699,163,198,196,4,6,661
08117033,Kuchen,5537,4688,852,1321,1167,152,104,4112
08117035,Mühlhausen im Täle,1088,927,159,240,210,33,14,835
08117037,Ottenbach,2410,2230,175,283,260,20,45,2084
08117038,Rechberghausen,5413,4941,474,1069,931,139,130,4214
