ags,name,population,catholic,evangelical,other_none_unstated
08111000,"Stuttgart, Landeshauptstadt",610458,123822,131548,355086
08115001,Aidlingen,9151,1588,3436,4127
08115002,Altdorf,4547,770,1767,2009
08115003,"Böblingen, Stadt",50705,10681,10832,29192
08115004,Bondorf,6197,1159,2211,2829
08115010,Deckenpfronn,3269,448,1511,1313
08115013,Ehningen,9124,1815,2754,4561
08115015,Gärtringen,12903,2381,4181,6342
08115016,Gäufelden,8982,1435,3333,4215
08115021,"Herrenberg, Stadt",33344,5719,11665,15957
08115022,Hildrizhausen,3493,648,1381,1465
08115024,"Holzgerlingen, Stadt",13822,2647,4647,6531
08115028,"Leonberg, Stadt",48337,8483,13056,26798
08115029,Magstadt,9580,2070,2421,5091
08115034,Mötzingen,3711,527,1441,1742
08115037,Nufringen,5753,917,2123,2714
08115041,"Renningen, Stadt",18443,3763,6003,8679
08115042,"Rutesheim, Stadt",10936,1794,3826,5308
08115044,Schönaich,10339,2373,3605,4364
08115045,"Sindelfingen, Stadt",60545,12768,12851,34927
08115046,Steinenbronn,6433,1346,1896,3191
08115048,"Waldenbuch, Stadt",8630,1748,2889,3991
08115050,"Weil der Stadt, Stadt",19411,4249,6062,9099
08115051,Weil im Schönbuch,9720,1765,3573,4385
08115052,Weissach,7624,1189,3000,3434
08115053,Jettingen,7981,1213,3096,3673
08115054,Grafenau,6670,1468,1888,3315
08116004,Altbach,6052,1210,1628,3214
08116005,Altdorf,1684,294,814,577
08116006,Altenriet,1955,336,825,794
08116007,Baltmannsweiler,5516,995,2263,2254
08116008,Bempflingen,3351,656,1419,1275
08116011,Beuren,3612,545,1713,1354
08116012,Bissingen an der Teck,3372,377,1574,1421
08116014,Deizisau,6673,1391,2255,3029
08116015,Denkendorf,11001,2004,3741,5254
08116016,Dettingen unter Teck,6064,942,2352,2772
08116018,Erkenbrechtsweiler,2035,318,929,787
08116019,"Esslingen am Neckar, Stadt",94442,17683,23366,53397
08116020,Frickenhausen,9202,1715,3449,4038
08116022,Großbettlingen,4248,855,1573,1817
08116027,Hochdorf,4647,966,1767,1915
08116029,Holzmaden,2276,365,997,916
08116033,"Kirchheim unter Teck, Stadt",41676,8104,12644,20924
08116035,Köngen,9560,1847,3624,4087
08116036,Kohlberg,2344,279,1237,828
08116037,Lichtenwald,2559,447,965,1145
08116041,Neckartailfingen,3769,629,1656,1486
08116042,Neckartenzlingen,6107,1146,1960,3003
08116043,Neidlingen,1759,229,985,545
08116046,"Neuffen, Stadt",6024,984,2746,2300
08116047,Neuhausen auf den Fildern,12067,3859,2803,5404
08116048,Notzingen,3572,683,1504,1388
08116049,"Nürtingen, Stadt",40212,7869,12432,19912
08116050,Oberboihingen,5486,1066,2063,2359
08116053,Ohmden,1729,289,799,641
08116054,"Owen, Stadt",3337,458,1639,1237
08116056,"Plochingen, Stadt",14178,2723,3545,7913
08116058,Reichenbach an der Fils,7873,1560,2463,3847
08116063,Schlaitdorf,1865,262,775,828
08116068,Unterensingen,4908,1022,1789,2094
08116070,"Weilheim an der Teck, Stadt",9779,1609,3867,4300
08116071,"Wendlingen am Neckar, Stadt",15800,3322,4398,8083
08116072,"Wernau (Neckar), Stadt",11995,4302,2306,5386
08116073,Wolfschlugen,6164,921,2488,2754
08116076,Aichwald,7252,1311,2783,3158
08116077,"Filderstadt, Stadt",45821,8061,14747,23017
08116078,"Leinfelden-Echterdingen, Stadt",40774,7310,11859,21603
08116079,Lenningen,8063,1224,3546,3291
08116080,"Ostfildern, Stadt",39555,7239,11182,21132
08116081,"Aichtal, Stadt",9537,1638,3655,4243
08117001,Adelberg,1972,403,822,749
08117002,Aichelberg,1315,223,470,621
08117003,Albershausen,4397,977,1518,1900
08117006,Bad Ditzenbach,3726,1507,912,1306
08117007,Bad Überkingen,3839,962,1673,1204
08117009,Birenbach,1889,563,589,736
08117010,Böhmenkirch,5537,2869,1021,1650
08117011,Börtlingen,1683,377,755,546
08117012,Bad Boll,5189,894,1990,2299
08117014,Deggingen,5131,2636,964,1535
08117015,"Donzdorf, Stadt",10531,5330,1792,3407
08117016,Drackenstein,459,222,81,159
08117017,Dürnau,2169,490,865,812
08117018,"Ebersbach an der Fils, Stadt",15231,2792,4883,7559
08117019,"Eislingen/Fils, Stadt",21972,6246,4917,10809
08117020,Eschenbach,2137,484,867,787
08117023,Gammelshausen,1464,318,559,586
08117024,"Geislingen an der Steige, Stadt",26869,7127,6372,13372
08117025,Gingen an der Fils,4408,1111,1692,1604
08117026,"Göppingen, Stadt",57809,13583,14501,29725
08117028,Gruibingen,2225,499,950,775
08117029,Hattenhofen,2943,521,1230,1190
08117030,Heiningen,4968,1175,1833,1960
08117031,Hohenstadt,863,361,191,312
08117033,Kuchen,5537,1613,1720,2205
08117035,Mühlhausen im Täle,1088,403,248,441
08117037,Ottenbach,2410,1204,541,663
08117038,Rechberghausen,5413,2030,1392,1992
08117042,Salach,7976,2791,1745,3437
08117043,Schlat,1668,411,783,472
08117044,Schlierbach,3834,886,1463,1489
08117049,"Süßen, Stadt",10048,2796,2865,4384
08117051,"Uhingen, Stadt",14248,2915,4457,6877
08117053,Wäschenbeuren,3912,1772,928,1212
08117055,Wangen,3138,640,1309,1191
08117058,"Wiesensteig, Stadt",1976,762,442,773
08117060,Zell unter Aichelberg,3110,579,1229,1303
08117061,"Lauterstein, Stadt",2505,1362,367,776
08118001,Affalterbach,4304,771,1612,1924
08118003,"Asperg, Stadt",13141,2963,3875,6301
08118006,Benningen am Neckar,6212,1140,2093,2977
08118007,"Besigheim, Stadt",12138,2209,4181,5749
08118010,"Bönnigheim, Stadt",7919,1439,2999,3483
08118011,"Ditzingen, Stadt",22659,4918,6630,11111
08118012,Eberdingen,6698,934,2370,3397
08118014,Erdmannhausen,5193,931,1904,2355
08118015,Erligheim,2839,502,1198,1139
08118016,Freudental,2392,346,963,1085
08118018,Gemmrigheim,4407,745,1637,2027
08118019,"Gerlingen, Stadt",18657,3813,5632,9213
08118021,"Großbottwar, Stadt",7855,1118,3467,3272
08118027,Hemmingen,7809,1421,2274,4111
08118028,Hessigheim,2482,324,1164,991
08118040,Kirchheim am Neckar,5828,911,1831,3081
08118046,"Kornwestheim, Stadt",33536,6456,7161,19919
08118047,Löchgau,5632,1146,2240,2244
08118048,"Ludwigsburg, Stadt",91810,17576,24469,49763
08118049,"Marbach am Neckar, Stadt",15429,3004,4847,7580
08118050,"Markgröningen, Stadt",14043,2932,4499,6612
08118051,Möglingen,10618,1913,3145,5561
08118053,Mundelsheim,3457,532,1565,1358
08118054,Murr,6498,1250,2205,3041
08118059,"Oberriexingen, Stadt",3265,525,1228,1512
08118060,Oberstenfeld,7534,1170,2947,3421
08118063,Pleidelsheim,6058,1295,1790,2972
08118067,Schwieberdingen,11141,2308,3163,5670
08118068,Sersheim,5359,814,2147,2401
08118070,"Steinheim an der Murr, Stadt",11986,2151,4558,5276
08118071,"Tamm, Stadt",12168,2696,3687,5786
08118073,"Vaihingen an der Enz, Stadt",28576,4623,10781,13172
08118074,Walheim,3219,452,1333,1438
08118076,"Sachsenheim, Stadt",18303,2919,6750,8632
08118077,Ingersheim,6239,1050,2394,2793
08118078,"Freiberg am Neckar, Stadt",15434,3170,5106,7154
08118079,"Bietigheim-Bissingen, Stadt",43328,8588,12464,22278
08118080,"Korntal-Münchingen, Stadt",18386,3543,5138,9705
08118081,"Remseck am Neckar, Stadt",26024,5006,7272,13748
08119001,Alfdorf,7292,1368,3386,2535
08119003,Allmersbach im Tal,5065,856,1948,2259
08119004,Althütte,4290,519,1719,2054
08119006,Auenwald,6804,1075,2958,2770
08119008,"Backnang, Stadt",38202,6238,11462,20500
08119018,Burgstetten,3749,625,1513,1610
08119020,"Fellbach, Stadt",46147,10832,11777,23540
08119024,Großerlach,2616,278,1091,1249
08119037,Kaisersbach,2461,240,1391,831
08119038,Kirchberg an der Murr,4004,504,1758,1738
08119041,Korb,11262,2034,3652,5576
08119042,Leutenbach,12121,2242,4116,5762
08119044,"Murrhardt, Stadt",14360,2381,5448,6533
08119053,Oppenweiler,4440,721,1805,1915
08119055,Plüderhausen,9687,2023,3092,4570
08119061,Rudersberg,11704,1903,4779,5022
08119067,"Schorndorf, Stadt",40548,7717,13768,19065
08119068,Schwaikheim,9693,1906,3148,4639
08119069,Spiegelberg,2186,264,1002,923
08119075,Sulzbach an der Murr,5279,760,2196,2322
08119076,Urbach,8951,1714,3499,3732
08119079,"Waiblingen, Stadt",57280,11373,15291,30617
08119083,Weissach im Tal,7436,1251,2932,3253
08119084,"Welzheim, Stadt",11120,1802,4349,4968
08119085,"Winnenden, Stadt",29297,5224,8981,15094
08119086,Winterbach,7661,1317,3114,3236
08119087,Aspach,8380,1255,3753,3371
08119089,Berglen,6708,924,2975,2807
08119090,Remshalden,14349,2702,5407,6242
08119091,"Weinstadt, Stadt",26807,4960,9882,11964
08119093,Kernen im Remstal,15761,3310,5489,6961
08121000,"Heilbronn, Universitätsstadt",128303,24091,32340,71872
08125001,Abstatt,4896,827,1789,2280
08125005,"Bad Friedrichshall, Stadt",19746,5083,4820,9840
08125006,"Bad Rappenau, Stadt",22333,5603,7686,9044
08125007,"Bad Wimpfen, Stadt",7311,1610,2488,3212
08125008,"Beilstein, Stadt",6201,942,2358,2903
08125013,"Brackenheim, Stadt",16475,2581,6906,6985
08125017,Cleebronn,3125,415,1368,1344
08125021,Eberstadt,3105,513,1455,1137
08125024,Ellhofen,3929,769,1473,1686
08125026,"Eppingen, Stadt",22424,5317,8407,8698
08125027,Erlenbach,5151,1842,1176,2133
08125030,Flein,7276,1236,2823,3219
08125034,Gemmingen,5466,1070,2125,2271
08125038,"Güglingen, Stadt",6380,847,2271,3259
08125039,"Gundelsheim, Stadt",7589,3659,1379,2553
08125046,Ilsfeld,9669,1278,4000,4391
08125047,Ittlingen,2619,633,964,1021
08125048,Jagsthausen,1731,327,623,784
08125049,Kirchardt,5878,1107,1819,2955
08125056,"Lauffen am Neckar, Stadt",11985,2012,4445,5529
08125057,Lehrensteinsfeld,2656,408,1228,1020
08125058,"Leingarten, Stadt",11717,2071,4496,5155
08125059,"Löwenstein, Stadt",3388,437,1572,1380
08125061,Massenbachhausen,3668,1134,963,1560
08125063,"Möckmühl, Stadt",8261,1449,3071,3739
08125065,"Neckarsulm, Stadt",26221,6747,5863,13615
08125066,Neckarwestheim,4103,620,1638,1844
08125068,"Neudenau, Stadt",5338,2108,1247,1989
08125069,"Neuenstadt am Kocher, Stadt",10157,2756,3338,4063
08125074,Nordheim,8457,1285,3684,3489
08125078,Oedheim,6534,2532,1407,2603
08125079,Offenau,2909,1018,549,1338
08125081,Pfaffenhofen,2443,233,1166,1047
08125084,Roigheim,1444,245,592,606
08125086,"Schwaigern, Stadt",11493,2104,5085,4303
08125087,Siegelsbach,1667,462,578,623
08125094,Talheim,4972,1166,1744,2060
08125096,Untereisesheim,4241,896,1376,1969
08125098,Untergruppenbach,8540,1330,3307,3907
08125102,"Weinsberg, Stadt",12708,2239,4352,6117
08125103,"Widdern, Stadt",1804,356,774,678
08125107,Wüstenrot,6779,721,3222,2835
08125108,Zaberfeld,4179,472,1964,1744
08125110,Obersulm,13845,2300,5939,5608
08125111,Hardthausen am Kocher,4227,621,2066,1546
08125113,Langenbrettach,3918,501,2026,1392
08126011,Bretzfeld,12498,1802,5664,5026
08126020,Dörzbach,2516,764,1117,636
08126028,"Forchtenberg, Stadt",5271,1098,2266,1907
08126039,"Ingelfingen, Stadt",5430,1663,2245,1523
08126045,"Krautheim, Stadt",4662,2699,813,1154
08126046,"Künzelsau, Stadt",15733,3906,5771,6058
08126047,Kupferzell,6421,1197,2958,2267
08126056,Mulfingen,3621,1821,1109,691
08126058,"Neuenstein, Stadt",6644,939,3289,2416
08126060,"Niedernhall, Stadt",4143,1043,1556,1544
08126066,"Öhringen, Stadt",25320,5140,9622,10559
08126069,Pfedelbach,9427,1649,4413,3367
08126072,Schöntal,5568,3630,821,1116
08126085,"Waldenburg, Stadt",2970,517,1215,1235
08126086,Weißbach,2018,416,727,875
08126094,Zweiflingen,1785,220,993,569
08127008,Blaufelden,5323,632,3224,1471
08127009,Braunsbach,2444,301,1453,692
08127012,Bühlertann,3066,1282,1034,753
08127013,Bühlerzell,2050,867,741,439
08127014,"Crailsheim, Stadt",34395,6023,14319,14051
08127023,Fichtenberg,2824,402,1397,1024
08127025,"Gaildorf, Stadt",12071,2407,4437,5224
08127032,"Gerabronn, Stadt",4463,766,2214,1484
08127043,"Ilshofen, Stadt",6909,972,3654,2283
08127046,"Kirchberg an der Jagst, Stadt",4198,519,1999,1681
08127047,"Langenburg, Stadt",1845,309,977,561
08127052,Mainhardt,5963,723,3009,2230
08127056,Michelbach an der Bilz,3374,685,1586,1102
08127059,Michelfeld,3750,513,1866,1371
08127062,Oberrot,3451,539,1519,1395
08127063,Obersontheim,5340,880,2728,1734
08127071,Rot am See,5434,666,3343,1426
08127073,Satteldorf,5564,829,3217,1520
08127075,"Schrozberg, Stadt",5719,976,3247,1494
08127076,"Schwäbisch Hall, Stadt",41247,6828,16778,17642
08127079,Sulzbach-Laufen,2528,344,1462,720
08127086,Untermünkheim,3018,340,1700,976
08127089,"Vellberg, Stadt",4596,738,2323,1538
08127091,Wallhausen,3679,498,2078,1107
08127099,Wolpertshausen,2292,281,1135,872
08127100,Rosengarten,5238,800,2493,1941
08127101,Kreßberg,3971,541,2289,1135
08127102,Fichtenau,4619,2032,1651,937
08127103,Frankenhardt,4892,660,2957,1275
08127104,Stimpfach,3033,1320,951,766
08128006,Assamstadt,2237,1580,238,427
08128007,"Bad Mergentheim, Stadt",23971,9444,6594,7933
08128014,"Boxberg, Stadt",6659,2273,2826,1556
08128020,"Creglingen, Stadt",4504,552,3092,858
08128039,"Freudenberg, Stadt",3697,2326,378,990
08128045,Großrinderfeld,4048,2845,406,798
08128047,"Grünsfeld, Stadt",3639,2457,484,702
